Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay,All_Data_Hash,Location_Status_Hash,Env_Time_Hash
2024-03-20 00:11:14,Truck_7,-65.7383,11.2497,390,Delayed,27.0,67.8,Detour,38,320,4,None,60.1,285,1,3527094b49aefa91e1d84979c043cee0a88bb14492679cbe38f22ee78a77d3b3,250094de146708043c11a476d55f94eda768a00980990e73925c0515e2ba6833,72bccd1b0a2086bf952194c67b1fa3a86a7752cbc7e06e65cac3b863a83485be
2024-10-30 07:53:51,Truck_6,22.2748,-131.7086,491,In Transit,22.5,54.3,Heavy,16,439,7,Weather,80.9,174,1,1863d5433de6f767347f92f66500a6a3235761c10dc9097103314e37893e04f6,99acf6fd386e27553fc5cd85340f536e7ebdf7ad47f6ab0aa22ed415e3ef1188,39dbf31424286e51c9a003744aee6f56ff5db0689dbe55155b6aac306b89260b
2024-07-29 18:42:48,Truck_10,54.9232,79.5455,190,In Transit,25.2,62.2,Detour,34,355,3,None,99.2,260,0,c0ebc88fdcdfbeaa24ffdcafc672871729c11a799e199b058e71874ee069d563,861bcc3b6b00750b51c550bc38c33a40134b61fdecd17c5bed71e5b0f3f95043,c13e547f824dd69f50ed8215f9f4439e7358d50494d8f5f463c48f9e6ec34363
2024-10-28 00:50:54,Truck_9,42.3900,-1.4788,330,Delivered,25.4,52.3,Heavy,37,227,5,Traffic,97.4,160,1,39bc447f39b8090145a6ed29609d87be6d64445d246206a0899bfc3386ace8ba,45506f2993ab358920806b94f53f4d5d62d89f5797b8d8d1509d58392d0ff02a,98c4a0c2f68ea232444f4696fc96ce69cf8aa67dfb1254806873806f710fe2dd
2024-09-27 15:52:58,Truck_7,-65.8477,47.9468,480,Delayed,20.5,57.2,Clear,56,197,6,None,71.6,270,1,9c20ef64c2663b5740e23701d120cccf7c3483ab00e606f7a4061180d1c7592a,7728f142a78f30f15b9c273e20241daee0d2279a162cac1fb93ff90bc07a9e70,d58156eb9106de4b21655f19831192679f79ff8f22e10bffb852f2f13a8091b6
2024-09-17 06:02:15,Truck_7,73.3312,46.5831,118,In Transit,24.3,61.8,Clear,56,258,10,None,66.8,189,0,c726144ffcca9b09e538b997a7a46f68cf25a458b0f65da41ce0eb764c94209d,951859a1b76edeff4aa1519de32d54e188d75bf1a802f89ca9acada4ad4db072,2ac1ad80ae0806bd5c3e0fb7fc6c16513fc7e61dc17d4d27a6be4ccfbbad660f
2024-02-05 08:38:56,Truck_4,27.9307,147.5317,480,Delayed,20.7,75.4,Clear,32,263,3,None,73.3,198,1,ea4dc17dae5c0820b70a35f37c8a5ba8af91e1d9478902f1d90ee930e360720a,e6c33336eda5af24a2ebb7f44eccc4a77ccb6bd5c71fd158fe886d399704c207,91e6d130cdc9b3a265fcea1428768da9bbdd73746c59b3d0c883eb10a6ff9804
2024-09-28 09:08:23,Truck_9,46.5643,-126.5348,222,In Transit,23.3,64.2,Detour,30,459,9,Traffic,73.8,253,0,c1f7b38c378aae6c44fbc433f2db9811883e51b617040149f66414e7fb0e775d,4b6e322c5c07dadd59965056876836727ae87f61c834ae9c2bc16086bed8e550,4dce2be44baf9aaffe061f94673665e5744ae4d94394fd3cea1c883bf274fb33
2024-01-18 08:27:04,Truck_9,-83.6737,-31.7125,245,Delivered,26.4,77.2,Clear,14,183,2,None,69.6,206,0,07f5a78fca2679cce64eeb4bd30c8fe388dea6bade6490f9baf87fef481a181b,2adcad70e4ad68a8e2966b55eb8d92a2023ab8bde8a92caee0f0158d3d10e36d,5685ffd46d8f9969ddb0ba7f235b1711da22e28a9d6745c43ccbfa840e5adeb3
2024-11-09 00:48:26,Truck_2,54.1683,-135.2676,389,In Transit,21.9,57.3,Clear,52,127,7,Mechanical Failure,63.1,224,0,eb94389242dd13189d32ffb2303abebe54282439714ef0469fd7b3aa8d9887ee,ada8f25b59d7f5d34d33a583938a61aaba99d524fee5022452fe77444175df2a,35c5e1c76adcbbda8fad3ffd8619b32e346910f90af62d24dc0945fa6cc5077b
2024-01-09 23:19:43,Truck_9,82.9633,-154.5274,319,Delayed,22.0,53.5,Clear,28,360,4,None,69.8,171,1,22a22ccc3bc89fde44c377140757b4fc7e292b1668a24a27b8edddd9048578fa,9d8b1d5aa4b259a66147cc1f03af1df09b17f6addf460928c7caee8feb60d34a,fba70034e16549d9b911991f7066b20c5cde1ededb55c25a80010ab197be0687
2024-02-02 22:28:16,Truck_10,-25.2768,156.1262,234,Delivered,29.7,63.6,Detour,13,406,10,Traffic,85.5,238,0,87bbbb3289f5a90d875cfbcbdf2e5da239ec9b10288b379f75c824c024a4bb15,48feb41a2d891a4dd0de749d9810307286c60d8fa08d016ca6b4c806ffa40eab,8aaca4d20aa0f0a64bd76bd152d3172485eb3fc0a56219804b60d90548f6d0dd
